Game,Spurs +/-,Possessions
1,-10,22
1,2,2
1,0,6
1,-2,25
1,3,5
1,7,11
2,-3,17
2,1,12
2,1,16
2,-1,15
2,-5,7
3,12,12
3,-1,4
3,-1,1
3,-4,5
3,6,15
4,-5,11
4,0,0
4,-2,2
4,3,13
4,-6,16
4,0,11
5,-5,19
5,0,2
5,2,4
5,3,4
5,0,2
5,4,12
1,3,16
1,2,2
1,0,1
1,-1,17
1,-4,3
1,14,21
2,-4,17
2,2,18
2,-8,16
2,5,17
3,3,22
3,-2,2
3,11,19
3,0,14
4,0,15
4,3,22
4,1,18
4,14,8
1,7,15
1,8,12
1,2,19
1,3,14
2,-7,10
2,0,9
2,-3,0
2,3,4
2,-2,4
2,-1,0
2,7,17
2,8,19
3,-2,14
3,-1,1
3,8,10
4,4,18
4,0,3
4,2,3
4,-6,20
4,13,16
1,0,18
1,3,12
1,-1,4
1,3,13
1,6,12
2,3,18
2,6,11
2,0,16
2,5,11
3,-11,21
3,2,13
3,1,12
3,-1,19
4,4,14
4,4,14
4,7,15
4,0,19
5,-4,17
5,10,12
5,-3,22
5,1,15
1,-3,14
1,2,3
1,2,15
1,3,1
1,-3,12
2,9,16
2,0,17
2,4,13
3,4,10
3,6,3
3,-1,22
3,1,6
3,11,6
4,10,13
4,0,3
4,0,19
4,10,7
4,3,1
1,-2,15
1,-1,4
1,9,13
1,5,23
2,3,20
2,-4,9
2,-3,20
2,-6,10
3,2,15
3,3,3
3,12,10
3,9,17
3,4,16
4,-7,19
4,3,8
4,5,18
4,8,13